"Intensity","ProteinGroup","external_gene_name","description"
553.50146484375,"A0A0J9YX35","IGHV3-64D","immunoglobulin heavy variable 3-64D [Source:HGNC Symbol;Acc:HGNC:49603]"
601.523315429688,"A0A0J9YX57_REVERSED",NA,NA
451.455078125,"A0A0J9YXV3_REVERSED",NA,NA
793.610595703125,"A0A0J9YXY3_REVERSED",NA,NA
793.610595703125,"A0A0J9YXY3","TRBV6-2","T cell receptor beta variable 6-2 [Source:HGNC Symbol;Acc:HGNC:12227]"
697.566955566406,"A0A0K0K1A3_REVERSED",NA,NA
631.536926269531,"A0A0K0K1A3","TRBV10-1","T cell receptor beta variable 10-1 [Source:HGNC Symbol;Acc:HGNC:12177]"
487.471466064453,"A0A0K0K1E9_REVERSED",NA,NA
679.558776855469,"A0A0U1RQE8","GLYATL1B","glycine-N-acyltransferase like 1B [Source:HGNC Symbol;Acc:HGNC:37865]"
487.471466064453,"A0A0U1RQG5_REVERSED",NA,NA
487.471466064453,"A0A0U1RQG5","CT47C1","cancer/testis antigen family 47 member C1 [Source:HGNC Symbol;Acc:HGNC:53820]"
517.485107421875,"A0A0U1RQI7_REVERSED",NA,NA
517.485107421875,"A0A0U1RQI7","KLF18","KLF transcription factor 18 [Source:HGNC Symbol;Acc:HGNC:51793]"
781.605163574219,"A0A1B0GTH9_REVERSED",NA,NA
481.46875,"A0A1B0GTR0_REVERSED",NA,NA
481.46875,"A0A1B0GTR0","EDDM13","epididymal protein 13 [Source:HGNC Symbol;Acc:HGNC:53168]"
445.452362060547,"A0A1B0GTS1_REVERSED",NA,NA
445.452362060547,"A0A1B0GTS1","HSFX4","heat shock transcription factor family, X-linked member 4 [Source:HGNC Symbol;Acc:HGNC:52398]"
847.635192871094,"A0A1B0GTU1_REVERSED",NA,NA
847.635192871094,"A0A1B0GTU1","ZC3H11B","zinc finger CCCH-type containing 11B [Source:HGNC Symbol;Acc:HGNC:25659]"
829.627014160156,"A0A1B0GTW7_REVERSED",NA,NA
679.558776855469,"A0A1B0GTW7","CIROP","ciliated left-right organizer metallopeptidase [Source:HGNC Symbol;Acc:HGNC:53647]"
613.528747558594,"A0A1B0GTZ2_REVERSED",NA,NA
529.490539550781,"A0A1B0GTZ2","CCDC196","coiled-coil domain containing 196 [Source:HGNC Symbol;Acc:HGNC:20100]"
706.571044921875,"A0A1B0GUA9_REVERSED",NA,NA
697.566955566406,"A0A1B0GUA9","C13orf46","chromosome 13 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:53786]"
727.580627441406,"A0A1B0GUT2_REVERSED",NA,NA
727.580627441406,"A0A1B0GUT2","C10orf143","chromosome 10 open reading frame 143 [Source:HGNC Symbol;Acc:HGNC:48677]"
709.572418212891,"A0A1B0GUU1_REVERSED",NA,NA
703.569702148438,"A0A1B0GUU1","C17orf113","chromosome 17 open reading frame 113 [Source:HGNC Symbol;Acc:HGNC:53437]"
475.466018676758,"A0A1B0GUV1","C17orf114","chromosome 17 open reading frame 114 [Source:HGNC Symbol;Acc:HGNC:55343]"
763.596954345703,"A0A1B0GUV7_REVERSED",NA,NA
715.575134277344,"A0A1B0GUV7","TEX48","testis expressed 48 [Source:HGNC Symbol;Acc:HGNC:52393]"
751.591491699219,"A0A1B0GUW6_REVERSED",NA,NA
751.591491699219,"A0A1B0GUW6","SPEM3","SPEM family member 3 [Source:HGNC Symbol;Acc:HGNC:53651]"
691.564239501953,"A0A1B0GV03_REVERSED",NA,NA
600.02262878418,"A0A1B0GV03","GOLGA6L7","golgin A6 family like 7 [Source:HGNC Symbol;Acc:HGNC:37442]"
745.588806152344,"A0A1B0GVH6_REVERSED",NA,NA
517.485107421875,"A0A1B0GVH7_REVERSED",NA,NA
595.520568847656,"A0A1W2PP81_REVERSED",NA,NA
613.528747558594,"A0A1W2PP81","TAF11L5","TATA-box binding protein associated factor 11 like 5 [Source:HGNC Symbol;Acc:HGNC:53848]"
595.520568847656,"A0A1W2PPD8","KDM4F","lysine demethylase 4F [Source:HGNC Symbol;Acc:HGNC:52413]"
625.534240722656,"A0A1W2PPK0","CPHXL2","cytoplasmic polyadenylated homeobox like 2 [Source:HGNC Symbol;Acc:HGNC:55919]"
853.637878417969,"A0A1W2PPL8_REVERSED",NA,NA
703.569702148438,"A0A1W2PPM1","CPHXL","cytoplasmic polyadenylated homeobox like [Source:HGNC Symbol;Acc:HGNC:51815]"
705.570597330729,"A0A1W2PQ09_REVERSED",NA,NA
673.556030273438,"A0A1W2PQ09","TAF11L11","TATA-box binding protein associated factor 11 like 11 [Source:HGNC Symbol;Acc:HGNC:53854]"
637.539672851562,"A0A1W2PQL4_REVERSED",NA,NA
637.539672851562,"A0A1W2PQL4","ZNF722","zinc finger protein 722 [Source:HGNC Symbol;Acc:HGNC:22571]"
445.452362060547,"A0A1W2PR19","GSTT4","glutathione S-transferase theta 4 [Source:HGNC Symbol;Acc:HGNC:26930]"
493.474182128906,"A0A1W2PR48","TLE7","TLE family member 7 [Source:HGNC Symbol;Acc:HGNC:53648]"
577.512390136719,"A0A1W2PR82_REVERSED",NA,NA
541.496032714844,"A0A1W2PR82","PERCC1","proline and glutamate rich with coiled coil 1 [Source:HGNC Symbol;Acc:HGNC:52293]"
823.624267578125,"A0A1W2PR95_REVERSED",NA,NA
463.460540771484,"A0A1W2PR95","IGBP1C","IGBP1 family member C [Source:HGNC Symbol;Acc:HGNC:43611]"
703.569702148438,"A0A1W2PRP0_REVERSED",NA,NA
919.667907714844,"A0A286YEY9_REVERSED",NA,NA
907.662475585938,"A0A286YEY9","SCYGR1","small cysteine and glycine repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:34218]"
622.532867431641,"A0A2R8Y7Y5_REVERSED",NA,NA
622.532867431641,"A0A2R8Y7Y5","CIST1","colon, intestine and stomach enriched 1 [Source:HGNC Symbol;Acc:HGNC:55823]"
556.502853393555,"A0A3B3IS91_REVERSED",NA,NA
599.52241007487,"A0A3B3IS91","POLGARF","POLG alternative reading frame [Source:HGNC Symbol;Acc:HGNC:56246]"
553.501480102539,"A0A3B3IT33_REVERSED",NA,NA
517.485107421875,"A0A3B3IT33","TRIM51G","tripartite motif-containing 51G [Source:HGNC Symbol;Acc:HGNC:43972]"
521.486928304036,"A0A494C086_REVERSED",NA,NA
559.504211425781,"A0A494C086","SPDYE21","speedy/RINGO cell cycle regulator family member E21 [Source:HGNC Symbol;Acc:HGNC:51517]"
439.449645996094,"A0A494C0Z2_REVERSED",NA,NA
755.59336344401,"A0A5B6_REVERSED",NA,NA
709.572448730469,"A0A5B6","TRBV28","T cell receptor beta variable 28 [Source:HGNC Symbol;Acc:HGNC:12209]"
691.564208984375,"A0A7P0TBJ1","HAPSTR2","HUWE1 associated protein modifying stress responses 2 [Source:HGNC Symbol;Acc:HGNC:55138]"
829.627014160156,"A0A8I5KY20","CCDC92B","coiled-coil domain containing 92B [Source:HGNC Symbol;Acc:HGNC:52279]"
745.588806152344,"A0A8V8TMC4_REVERSED",NA,NA
397.433258056641,"A0A8V8TMC4","CCNYL1B","cyclin Y like 1B [Source:HGNC Symbol;Acc:HGNC:56313]"
601.523315429688,"A0AV02","SLC12A8","solute carrier family 12 member 8 [Source:HGNC Symbol;Acc:HGNC:15595]"
625.534240722656,"A0AV96","RBM47","RNA binding motif protein 47 [Source:HGNC Symbol;Acc:HGNC:30358]"
721.577880859375,"A0AVF1","IFT56","intraflagellar transport 56 [Source:HGNC Symbol;Acc:HGNC:21882]"
703.569702148438,"A0AVI2_REVERSED",NA,NA
487.471466064453,"A0AVI4_REVERSED",NA,NA
487.471466064453,"A0AVI4","TMEM129","transmembrane protein 129, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:25137]"
571.509643554688,"A0JLT2","MED19","mediator complex subunit 19 [Source:HGNC Symbol;Acc:HGNC:29600]"
647.544230143229,"A0JNW5_REVERSED",NA,NA
451.455078125,"A0JNW5","BLTP3B","bridge-like lipid transfer protein family member 3B [Source:HGNC Symbol;Acc:HGNC:29102]"
613.528747558594,"A0JP26_REVERSED",NA,NA
733.583312988281,"A0JP26","POTEB3","POTE ankyrin domain family member B3 [Source:HGNC Symbol;Acc:HGNC:51240]"
733.583312988281,"A0PJY2","FEZF1","FEZ family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:22788]"
661.550598144531,"A0PK00_REVERSED",NA,NA
763.596984863281,"A0PK00","TMEM120B","transmembrane protein 120B [Source:HGNC Symbol;Acc:HGNC:32008]"
457.457824707031,"A1KZ92_REVERSED",NA,NA
457.457824707031,"A1KZ92","PXDNL","peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]"
919.667907714844,"A1L162_REVERSED",NA,NA
919.667907714844,"A1L162","ERICH2","glutamate rich 2 [Source:HGNC Symbol;Acc:HGNC:44395]"
661.550598144531,"A1L190","SYCE3","synaptonemal complex central element protein 3 [Source:HGNC Symbol;Acc:HGNC:35245]"
745.588806152344,"A1L443","NUTM2F","NUT family member 2F [Source:HGNC Symbol;Acc:HGNC:23450]"
683.560607910156,"A1L4H1_REVERSED",NA,NA
682.560150146484,"A1L4H1","SSC5D","scavenger receptor cysteine rich family member with 5 domains [Source:HGNC Symbol;Acc:HGNC:26641]"
681.559712727865,"A1L4K1_REVERSED",NA,NA
633.537882486979,"A1L4K1","FSD2","fibronectin type III and SPRY domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18024]"
763.596984863281,"A1XBS5_REVERSED",NA,NA
763.596984863281,"A1YPR0","ZBTB7C","zinc finger and BTB domain containing 7C [Source:HGNC Symbol;Acc:HGNC:31700]"
427.444183349609,"A1Z1Q3_REVERSED",NA,NA
427.444183349609,"A1Z1Q3","MACROD2","mono-ADP ribosylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:16126]"
577.512390136719,"A2A288_REVERSED",NA,NA
577.512390136719,"A2A288","ZC3H12D","zinc finger CCCH-type containing 12D [Source:HGNC Symbol;Acc:HGNC:21175]"
577.512390136719,"A2A2Y4_REVERSED",NA,NA
817.621520996094,"A2A3L6","TTC24","tetratricopeptide repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:32348]"
497.476013183594,"A2AJT9_REVERSED",NA,NA
601.523315429688,"A2AJT9","BCLAF3","BCLAF1 and THRAP3 family member 3 [Source:HGNC Symbol;Acc:HGNC:27413]"
817.621520996094,"A2PYH4_REVERSED",NA,NA
817.621520996094,"A2PYH4","HFM1","helicase for meiosis 1 [Source:HGNC Symbol;Acc:HGNC:20193]"
706.571044921875,"A2RRD8_REVERSED",NA,NA
691.564231872559,"A2RRD8","ZNF320","zinc finger protein 320 [Source:HGNC Symbol;Acc:HGNC:13842]"
601.523315429688,"A2RRH5_REVERSED",NA,NA
601.523315429688,"A2RRH5","WDR27","WD repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:21248]"
679.558776855469,"A2RRP1_REVERSED",NA,NA
617.530578613281,"A2RRP1","NBAS","NBAS subunit of NRZ tethering complex [Source:HGNC Symbol;Acc:HGNC:15625]"
675.556976318359,"A2RTX5","TARS3","threonyl-tRNA synthetase 3 [Source:HGNC Symbol;Acc:HGNC:24728]"
817.621520996094,"A2RTY3_REVERSED",NA,NA
817.621520996094,"A2RTY3","HEATR9","HEAT repeat containing 9 [Source:HGNC Symbol;Acc:HGNC:26548]"
823.624267578125,"A2RU49_REVERSED",NA,NA
676.557418823242,"A2RUB1_REVERSED",NA,NA
691.564208984375,"A2RUB1","MEIOC","meiosis specific with coiled-coil domain [Source:HGNC Symbol;Acc:HGNC:26670]"
535.493301391602,"A2RUB6_REVERSED",NA,NA
469.463287353516,"A2RUB6","CCDC66","coiled-coil domain containing 66 [Source:HGNC Symbol;Acc:HGNC:27709]"
530.991249084473,"A2RUR9_REVERSED",NA,NA
570.309124755859,"A2RUR9","CCDC144A","coiled-coil domain containing 144A [Source:HGNC Symbol;Acc:HGNC:29072]"
819.622416178385,"A2RUS2_REVERSED",NA,NA
819.622416178385,"A2RUS2","DENND3","DENN domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29134]"
709.572448730469,"A2VDJ0_REVERSED",NA,NA
623.533315022786,"A2VEC9_REVERSED",NA,NA
621.782516479492,"A2VEC9",NA,NA
541.496032714844,"A3KMH1_REVERSED",NA,NA
484.470108032227,"A3KMH1","VWA8","von Willebrand factor A domain containing 8 [Source:HGNC Symbol;Acc:HGNC:29071]"
721.577880859375,"A3QJZ6",NA,NA
577.512390136719,"A3QJZ7_REVERSED",NA,NA
577.512390136719,"A3QJZ7","PRAMEF27","PRAME family member 27 [Source:HGNC Symbol;Acc:HGNC:51234]"
637.539672851562,"A4D0S4_REVERSED",NA,NA
649.545166015625,"A4D0V7_REVERSED",NA,NA
553.50146484375,"A4D126_REVERSED",NA,NA
553.50146484375,"A4D126","CRPPA","CDP-L-ribitol pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:37276]"
715.575134277344,"A4D161","FAM221A","family with sequence similarity 221 member A [Source:HGNC Symbol;Acc:HGNC:27977]"
571.509643554688,"A4D1B5_REVERSED",NA,NA
571.509643554688,"A4D1B5","GSAP","gamma-secretase activating protein [Source:HGNC Symbol;Acc:HGNC:28042]"
729.981701660156,"A4D1E1_REVERSED",NA,NA
781.605163574219,"A4D1E1","ZNF804B","zinc finger protein 804B [Source:HGNC Symbol;Acc:HGNC:21958]"
889.654296875,"A4D1P6_REVERSED",NA,NA
889.654296875,"A4D1P6","WDR91","WD repeat domain 91 [Source:HGNC Symbol;Acc:HGNC:24997]"
913.665161132812,"A4D1U4_REVERSED",NA,NA
817.621520996094,"A4D1U4","DENND11","DENN domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29472]"
847.635192871094,"A4D2H0_REVERSED",NA,NA
679.558792114258,"A4D2P6_REVERSED",NA,NA
739.586059570312,"A4D2P6","GRID2IP","Grid2 interacting protein [Source:HGNC Symbol;Acc:HGNC:18464]"
505.479644775391,"A4FU01_REVERSED",NA,NA
643.542419433594,"A4FU49_REVERSED",NA,NA
499.476928710938,"A4FU49","SH3D21","SH3 domain containing 21 [Source:HGNC Symbol;Acc:HGNC:26236]"
633.537851969401,"A4UGR9_REVERSED",NA,NA
589.517852783203,"A4UGR9","XIRP2","xin actin binding repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:14303]"
681.559682210286,"A5A3E0_REVERSED",NA,NA
713.574239095052,"A5A3E0","POTEF","POTE ankyrin domain family member F [Source:HGNC Symbol;Acc:HGNC:33905]"
835.629699707031,"A5D8T8_REVERSED",NA,NA
853.637878417969,"A5D8W1_REVERSED",NA,NA
631.536926269531,"A5PKW4","PSD","pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]"
586.516479492188,"A5PL33_REVERSED",NA,NA
397.433258056641,"A5PLK6_REVERSED",NA,NA
565.508285522461,"A5PLK6","RGSL1","regulator of G protein signaling like 1 [Source:HGNC Symbol;Acc:HGNC:18636]"
757.594268798828,"A5PLN9_REVERSED",NA,NA
649.545166015625,"A5PLN9","TRAPPC13","trafficking protein particle complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:25828]"
739.586059570312,"A5YKK6_REVERSED",NA,NA
778.603790283203,"A5YKK6","CNOT1","CCR4-NOT transcription complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7877]"
823.624267578125,"A6BM72_REVERSED",NA,NA
823.624267578125,"A6BM72","MEGF11","multiple EGF like domains 11 [Source:HGNC Symbol;Acc:HGNC:29635]"
643.542419433594,"A6H8M9_REVERSED",NA,NA
724.579223632812,"A6H8Y1_REVERSED",NA,NA
800.813879394531,"A6H8Y1","BDP1","B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB [Source:HGNC Symbol;Acc:HGNC:13652]"
499.476928710938,"A6H8Z2","FAM221B","family with sequence similarity 221 member B [Source:HGNC Symbol;Acc:HGNC:30762]"
657.048538208008,"A6NC57_REVERSED",NA,NA
653.546936035156,"A6NC57","ANKRD62","ankyrin repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:35241]"
568.508285522461,"A6NC62_REVERSED",NA,NA
631.536926269531,"A6NC62",NA,NA
517.485107421875,"A6NC86_REVERSED",NA,NA
599.522399902344,"A6NC86","PINLYP","phospholipase A2 inhibitor and LY6/PLAUR domain containing [Source:HGNC Symbol;Acc:HGNC:44206]"
529.490539550781,"A6NC97",NA,NA
727.580627441406,"A6NCC3","GOLGA8O","golgin A8 family member O [Source:HGNC Symbol;Acc:HGNC:44406]"
463.460540771484,"A6NCF6_REVERSED",NA,NA
463.460540771484,"A6NCF6",NA,NA
797.612426757812,"A6NCI4_REVERSED",NA,NA
471.464640299479,"A6NCM1_REVERSED",NA,NA
535.493286132812,"A6NCM1","IQCA1L","IQ motif containing with AAA domain 1 like [Source:HGNC Symbol;Acc:HGNC:22831]"
769.599670410156,"A6NCS4_REVERSED",NA,NA
511.482376098633,"A6ND36_REVERSED",NA,NA
553.501475016276,"A6ND36","FAM83G","family with sequence similarity 83 member G [Source:HGNC Symbol;Acc:HGNC:32554]"
751.591491699219,"A6NDB9_REVERSED",NA,NA
703.569671630859,"A6NDB9","PALM3","paralemmin 3 [Source:HGNC Symbol;Acc:HGNC:33274]"
967.689758300781,"A6NDI0_REVERSED",NA,NA
865.643371582031,"A6NDI0","TRIM49B","tripartite motif containing 49B [Source:HGNC Symbol;Acc:HGNC:42955]"
667.553344726562,"A6NDR6_REVERSED",NA,NA
667.553344726562,"A6NDR6",NA,NA
841.632446289062,"A6NDX5_REVERSED",NA,NA
415.438720703125,"A6NDX5",NA,NA
547.498779296875,"A6NE01_REVERSED",NA,NA
538.494659423828,"A6NE01","FAM186A","family with sequence similarity 186 member A [Source:HGNC Symbol;Acc:HGNC:26980]"
700.568328857422,"A6NED2","RCCD1","RCC1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30457]"
547.498779296875,"A6NEE1_REVERSED",NA,NA
694.565612792969,"A6NEE1","PLEKHD1","pleckstrin homology and coiled-coil domain containing D1 [Source:HGNC Symbol;Acc:HGNC:20148]"
703.569702148438,"A6NEF3","GOLGA6L4","golgin A6 family like 4 [Source:HGNC Symbol;Acc:HGNC:27256]"
475.466003417969,"A6NEH6","TMEM247","transmembrane protein 247 [Source:HGNC Symbol;Acc:HGNC:42967]"
628.535583496094,"A6NEK1",NA,NA
562.505569458008,"A6NEM1_REVERSED",NA,NA
409.436004638672,"A6NEM1","GOLGA6L9","golgin A6 family like 9 [Source:HGNC Symbol;Acc:HGNC:37229]"
561.0048828125,"A6NES4_REVERSED",NA,NA
502.478271484375,"A6NES4","MROH2A","maestro heat like repeat family member 2A [Source:HGNC Symbol;Acc:HGNC:27936]"
907.662475585938,"A6NF83_REVERSED",NA,NA
907.662475585938,"A6NF83","NUPR2","nuclear protein 2, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:44164]"
745.588806152344,"A6NFD8","HELT","helt bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:33783]"
487.471466064453,"A6NFE3_REVERSED",NA,NA
487.471466064453,"A6NFE3","EFCAB10","EF-hand calcium binding domain 10 [Source:HGNC Symbol;Acc:HGNC:34531]"
430.445541381836,"A6NFI3","ZNF316","zinc finger protein 316 [Source:HGNC Symbol;Acc:HGNC:13843]"
553.50146484375,"A6NFR6","SPATA31J1","SPATA31 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:27753]"
799.613342285156,"A6NFU8","PGPEP1L","pyroglutamyl-peptidase I like [Source:HGNC Symbol;Acc:HGNC:27080]"
535.493286132812,"A6NFY4","NEMP2","nuclear envelope integral membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:33700]"
526.489196777344,"A6NGB0_REVERSED",NA,NA
526.489196777344,"A6NGB0","TMEM191C","transmembrane protein 191C [Source:HGNC Symbol;Acc:HGNC:33601]"
661.550598144531,"A6NGD5_REVERSED",NA,NA
547.498779296875,"A6NGD5","ZSCAN5C","zinc finger and SCAN domain containing 5C [Source:HGNC Symbol;Acc:HGNC:34294]"
637.539672851562,"A6NGE4","DCAF8L1","DDB1 and CUL4 associated factor 8 like 1 [Source:HGNC Symbol;Acc:HGNC:31810]"
757.59423828125,"A6NGG8_REVERSED",NA,NA
651.546051025391,"A6NGG8","PCARE","photoreceptor cilium actin regulator [Source:HGNC Symbol;Acc:HGNC:34383]"
421.441436767578,"A6NGH7_REVERSED",NA,NA
421.441436767578,"A6NGH7","CCDC160","coiled-coil domain containing 160 [Source:HGNC Symbol;Acc:HGNC:37286]"
901.659729003906,"A6NGY5","OR51F1","olfactory receptor family 51 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:15196]"
793.610595703125,"A6NH21_REVERSED",NA,NA
749.590616861979,"A6NHC0_REVERSED",NA,NA
805.616088867188,"A6NHC0","CAPN8","calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]"
607.526062011719,"A6NHJ4_REVERSED",NA,NA
581.51421101888,"A6NHJ4","ZNF860","zinc finger protein 860 [Source:HGNC Symbol;Acc:HGNC:34513]"
643.542419433594,"A6NHN0_REVERSED",NA,NA
643.542419433594,"A6NHN0","OTOL1","otolin 1 [Source:HGNC Symbol;Acc:HGNC:34071]"
436.448272705078,"A6NHP3","SPDYE2B","speedy/RINGO cell cycle regulator family member E2B [Source:HGNC Symbol;Acc:HGNC:48334]"
553.50146484375,"A6NHR8_REVERSED",NA,NA
691.564208984375,"A6NHR9_REVERSED",NA,NA
586.516479492188,"A6NHR9","SMCHD1","structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]"
673.556030273438,"A6NHZ5_REVERSED",NA,NA
673.556030273438,"A6NHZ5","LRRC14B","leucine rich repeat containing 14B [Source:HGNC Symbol;Acc:HGNC:37268]"
445.452362060547,"A6NI86_REVERSED",NA,NA
601.523315429688,"A6NIR3_REVERSED",NA,NA
601.523315429688,"A6NIR3","AGAP5","ArfGAP with GTPase domain, ankyrin repeat and PH domain 5 [Source:HGNC Symbol;Acc:HGNC:23467]"
565.506958007812,"A6NJ64_REVERSED",NA,NA
565.506958007812,"A6NJ64","NPIPB2","nuclear pore complex interacting protein family member B2 [Source:HGNC Symbol;Acc:HGNC:37451]"
541.496032714844,"A6NJJ6_REVERSED",NA,NA
541.496032714844,"A6NJJ6","C19orf67","chromosome 19 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:34354]"
565.506958007812,"A6NJL1_REVERSED",NA,NA
601.523315429688,"A6NJL1","ZSCAN5B","zinc finger and SCAN domain containing 5B [Source:HGNC Symbol;Acc:HGNC:34246]"
799.613342285156,"A6NJZ7_REVERSED",NA,NA
793.610626220703,"A6NJZ7","RIMBP3C","RIMS binding protein 3C [Source:HGNC Symbol;Acc:HGNC:33892]"
691.564247131348,"A6NK53_REVERSED",NA,NA
610.527420043945,"A6NK53","ZNF233","zinc finger protein 233 [Source:HGNC Symbol;Acc:HGNC:30946]"
655.547841389974,"A6NK75_REVERSED",NA,NA
600.022605895996,"A6NK75","ZNF98","zinc finger protein 98 [Source:HGNC Symbol;Acc:HGNC:13174]"
667.553314208984,"A6NKB5_REVERSED",NA,NA
667.553314208984,"A6NKB5","PCNX2","pecanex 2 [Source:HGNC Symbol;Acc:HGNC:8736]"
685.5615234375,"A6NKD9_REVERSED",NA,NA
635.538777669271,"A6NKG5_REVERSED",NA,NA
787.60791015625,"A6NKG5","RTL1","retrotransposon Gag like 1 [Source:HGNC Symbol;Acc:HGNC:14665]"
649.545166015625,"A6NKT7","RGPD3","RANBP2 like and GRIP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:32416]"
403.434631347656,"A6NKU9_REVERSED",NA,NA
403.434631347656,"A6NKU9","SPDYE3","speedy/RINGO cell cycle regulator family member E3 [Source:HGNC Symbol;Acc:HGNC:35462]"
481.46875,"A6NL88_REVERSED",NA,NA
481.46875,"A6NL88","SHISA7","shisa family member 7 [Source:HGNC Symbol;Acc:HGNC:35409]"
571.509643554688,"A6NLC5","C3orf70","chromosome 3 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:33731]"
631.536926269531,"A6NLI5_REVERSED",NA,NA
637.539672851562,"A6NLI5","TRIM64C","tripartite motif containing 64C [Source:HGNC Symbol;Acc:HGNC:37148]"
499.476928710938,"A6NLJ0_REVERSED",NA,NA
499.476928710938,"A6NLJ0","C2CD4B","C2 calcium dependent domain containing 4B [Source:HGNC Symbol;Acc:HGNC:33628]"
865.643371582031,"A6NLU5_REVERSED",NA,NA
847.635192871094,"A6NLU5","VSTM2B","V-set and transmembrane domain containing 2B [Source:HGNC Symbol;Acc:HGNC:33595]"
883.651550292969,"A6NM11_REVERSED",NA,NA
445.452362060547,"A6NM28","ZFP92","ZFP92 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12865]"
